dev,a,b
manjuapu,11,6.779166666666667
Kobi Hikri,12,14.991666666666667
Bernard Leach,23,30.422777777777775
Satish Duggana,11,36.10648148148149
Pierre-Yves,10,81.4826388888889
Gunnar Morling,11,115.88125000000001
Jakub Scholz,14,140.01746031746032
bartdevylder,10,141.76458333333335
Praveen Devarao,29,141.90653409090913
phderome,18,180.3215277777778
