developer,value
Ismael Juma,425.0
Jason Gustafson,300.0
Damian Guy,223.0
Matthias J. Sax,211.0
Guozhang Wang,209.0
Rajini Sivaram,169.0
Ewen Cheslack-Postava,139.0
Eno Thereska,127.0
Vahid Hashemian,101.0
Grant Henke,99.0
