developer,value
Ismael Juma,503.0
Jason Gustafson,408.0
Matthias J. Sax,373.0
Guozhang Wang,338.0
Rajini Sivaram,289.0
Damian Guy,226.0
Bill Bejeck,165.0
Colin Patrick McCabe,155.0
Manikumar Reddy,146.0
Ewen Cheslack-Postava,146.0
