dev,a,b
Joel Hamill,10,27.45722222222222
James Cheng,25,33.59075555555555
auradkar,10,35.51072222222222
Debasish Ghosh,11,47.25573232323232
ymatsuda,27,52.09945473251029
dan norwood,21,54.454550264550264
Anna Povzner,18,56.15759259259259
Apurva Mehta,86,68.9009819121447
Edward Ribeiro,25,77.09062222222222
cadonna,14,95.23329365079366
