date,value
14/11/17,3
17/02/18,2
17/02/17,5
17/02/16,8
17/02/15,1
21/05/18,7
21/05/17,1
14/11/15,1
21/05/19,6
04/02/17,6
04/02/18,2
04/02/19,1
22/10/18,4
17/04/16,1
22/10/17,3
17/04/17,5
17/04/18,5
22/10/16,4
04/02/14,1
17/04/19,7
22/10/15,8
04/02/16,10
24/09/15,3
24/09/17,1
24/09/16,2
05/07/17,3
25/03/16,6
05/07/18,2
19/12/15,3
25/03/17,2
19/12/18,3
19/12/16,4
19/12/17,6
05/07/16,4
25/03/19,4
09/05/19,4
09/05/16,12
09/05/17,8
09/05/18,9
20/03/15,1
24/07/16,1
29/11/15,2
24/07/17,2
24/07/18,5
29/11/18,10
29/11/17,6
29/11/16,6
30/08/17,5
12/04/17,7
30/08/16,4
12/04/16,4
12/04/19,10
30/12/15,2
30/08/18,3
12/04/18,10
30/12/17,1
30/12/18,1
23/03/16,9
23/03/17,4
08/09/16,2
23/03/18,7
08/09/17,7
23/03/19,6
08/09/18,3
24/07/15,5
25/01/16,1
20/03/17,7
20/03/19,9
20/03/18,7
16/08/18,6
22/09/17,10
22/09/16,3
22/09/18,6
25/01/17,2
25/01/18,4
25/01/19,6
16/08/16,5
22/09/15,1
16/08/17,5
08/10/18,4
02/07/18,4
07/05/15,1
07/05/16,6
07/05/17,5
07/05/18,2
27/01/16,7
07/05/19,6
27/01/17,7
27/01/18,2
18/08/15,3
27/01/19,1
18/08/16,3
18/08/17,6
18/08/18,3
15/04/16,7
15/04/17,1
15/04/18,1
03/12/16,4
03/12/15,8
10/06/18,3
26/07/18,5
03/12/18,4
03/12/17,2
15/04/19,2
08/10/16,6
08/10/17,1
26/07/17,10
26/07/16,6
08/10/15,4
19/02/17,3
19/02/18,6
19/02/19,6
19/02/16,6
10/06/16,3
10/06/17,12
11/11/15,9
11/11/16,5
11/11/18,3
04/12/18,7
04/12/17,2
01/02/14,2
01/02/17,7
01/02/16,5
04/12/15,3
01/02/19,4
01/02/18,9
29/01/18,3
29/01/17,1
29/01/19,1
11/06/16,7
27/03/16,1
29/01/16,8
27/03/18,6
06/10/17,6
27/03/17,4
06/10/16,10
27/03/19,7
06/10/18,2
06/10/15,4
06/10/14,1
23/07/15,1
23/07/16,2
06/09/17,11
06/09/16,5
06/09/15,2
06/09/18,3
19/04/19,8
17/06/16,3
19/04/16,5
17/06/15,1
17/06/18,2
19/04/18,10
17/06/17,8
19/04/17,8
03/07/16,1
