entity,value
Mean no of comments / PR,15.07289095397125
Mean no of comments on code / PR,7.986931900682445
Mean no of simple comments / PR,7.085959053288805
Mean no of commits / PR, 5.813416581966023
Mean no of follow up commits / PR,2.643095687527225
Mean no of changed files / PR,13.837810367358792
